000.00 		000.00
012.00 		000.00
012.00 		090.00
012.00 		180.00
012.00 		270.00
024.00 		000.00
024.00 		060.00
024.00 		120.00
024.00 		180.00
024.00 		240.00
024.00 		300.00
036.00 		000.00
036.00 		060.00
036.00 		120.00
036.00 		180.00
036.00 		240.00
036.00 		300.00
048.00 		000.00
048.00 		045.00
048.00 		090.00
048.00 		135.00
048.00 		180.00
048.00 		225.00
048.00 		270.00
048.00 		315.00
060.00 		000.00
060.00 		036.00
060.00 		072.00
060.00 		108.00
060.00 		144.00
060.00 		180.00
060.00 		216.00
060.00 		252.00
060.00 		288.00
060.00 		324.00
072.00 		000.00
072.00 		036.00
072.00 		072.00
072.00 		108.00
072.00 		144.00
072.00 		180.00
072.00 		216.00
072.00 		252.00
072.00 		288.00
072.00 		324.00
084.00 		000.00
084.00 		036.00
084.00 		072.00
084.00 		108.00
084.00 		144.00
084.00 		180.00
084.00 		216.00
084.00 		252.00
084.00 		288.00
084.00 		324.00
